[2013-06-06 11:21:11,668]	Job DEFAULT.TestJob1 execution complete at  11:21:11 06/06/2013 and reports: hello
[2013-06-06 11:21:11,770]	Job GroupOfTestJob2.TestJob2 fired (by trigger GroupOfTestJob2Triggers.TestSimpleTrigger2AtTenSecondIntervalAndFiveRepeats) at:  11:21:11 06/06/2013
[2013-06-06 11:21:11,771]	Executing job: GroupOfTestJob2.TestJob2 executing at Thu Jun 06 11:21:11 CST 2013, fired by: GroupOfTestJob2Triggers.TestSimpleTrigger2AtTenSecondIntervalAndFiveRepeats
[2013-06-06 11:21:11,771]	 - jobDataMap entry: someKey = someValue
[2013-06-06 11:21:11,771]	 - jobDataMap entry: someOtherKey = someOtherValue
[2013-06-06 11:21:11,771]	Job GroupOfTestJob2.TestJob2 execution complete at  11:21:11 06/06/2013 and reports: hello
[2013-06-06 11:21:16,668]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:16 06/06/2013
[2013-06-06 11:21:16,669]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:16 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:21:16,669]	Job DEFAULT.TestJob1 execution complete at  11:21:16 06/06/2013 and reports: hello
[2013-06-06 11:21:21,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:21 06/06/2013
[2013-06-06 11:21:21,668]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:21:21 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:21:21,668]	Job DEFAULT.TestJob1 execution complete at  11:21:21 06/06/2013 and reports: hello
[2013-06-06 11:21:21,771]	Job GroupOfTestJob2.TestJob2 fired (by trigger GroupOfTestJob2Triggers.TestSimpleTrigger2AtTenSecondIntervalAndFiveRepeats) at:  11:21:21 06/06/2013
[2013-06-06 11:21:21,772]	Executing job: GroupOfTestJob2.TestJob2 executing at Thu Jun 06 11:21:21 CST 2013, fired by: GroupOfTestJob2Triggers.TestSimpleTrigger2AtTenSecondIntervalAndFiveRepeats
[2013-06-06 11:21:21,772]	 - jobDataMap entry: someKey = someValue
[2013-06-06 11:21:21,772]	 - jobDataMap entry: someOtherKey = someOtherValue
[2013-06-06 11:21:21,774]	Job GroupOfTestJob2.TestJob2 execution complete at  11:21:21 06/06/2013 and reports: hello
[2013-06-06 11:21:26,667]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:21:26 06/06/2013
